iteration = 1 , objective = 0.6838089108757762, inputs = [0.95, 1.1], constraints = [0.38240745957532796]
iteration = 48 , objective = 0.6668704302998849, inputs = [1.0469633932025986, 1.0456946402610723], constraints = [0.46015298488365314]
iteration = 49 , objective = 0.6669083241037334, inputs = [1.0462635775696378, 1.0457191980367149], constraints = [0.4608041876915307]
iteration = 50 , objective = 0.6669287366298777, inputs = [1.045888456981427, 1.0457323616855538], constraints = [0.4611529993423833]
iteration = 51 , objective = 0.6669287245651256, inputs = [1.0458884718825883, 1.0457323616855538], constraints = [0.4611530102230055]
iteration = 52 , objective = 0.6669287349521051, inputs = [1.045888456981427, 1.045732376586715], constraints = [0.46115296389216975]
iteration = 53 , objective = 0.6669287362176154, inputs = [1.045888456981427, 1.0457323616855538], constraints = [0.46115300029918316]
iteration = 54 , objective = 0.6669287348536665, inputs = [1.0458884718825883, 1.0457323616855538], constraints = [0.46115298988291514]
iteration = 55 , objective = 0.6669287376064247, inputs = [1.045888456981427, 1.045732376586715], constraints = [0.46115295773189635]
iteration = 56 , objective = 0.6669287366074219, inputs = [1.045888456981427, 1.0457323616855538], constraints = [0.4611529993945005]
iteration = 57 , objective = 0.6669287256695184, inputs = [1.0458884718825883, 1.0457323616855538], constraints = [0.46115300766082296]
iteration = 58 , objective = 0.6669287416618812, inputs = [1.045888456981427, 1.045732376586715], constraints = [0.4611529483197924]
iteration = 59 , objective = 0.6659695626627479, inputs = [1.299999999993798, 1.0357529082653936], constraints = [0.19769751820373235]
iteration = 60 , objective = 0.6635732450509713, inputs = [1.1735426235664055, 1.0407191348394906], constraints = [0.3351742020336144]
iteration = 61 , objective = 0.6643415954215263, inputs = [1.111869411741124, 1.0431411615502257], constraints = [0.39805452651066997]
iteration = 62 , objective = 0.6653212748527454, inputs = [1.0805676255754015, 1.0443704434368555], constraints = [0.4285921682023251]
iteration = 63 , objective = 0.6660043970706072, inputs = [1.0642871459518666, 1.0450098094653912], constraints = [0.4440549478175208]
iteration = 64 , objective = 0.6664152051256846, inputs = [1.0556999544755132, 1.0453470451388769], constraints = [0.4520864151157879]
iteration = 65 , objective = 0.6666481869600961, inputs = [1.0511352457975829, 1.0455263101068828], constraints = [0.45631939556283]
iteration = 66 , objective = 0.6667767761243892, inputs = [1.0486984467978286, 1.0456220079324283], constraints = [0.4585685762792856]
iteration = 67 , objective = 0.6668467944918935, inputs = [1.0473946036082085, 1.0456732123847086], constraints = [0.45976898919053394]
iteration = 68 , objective = 0.6668846552337578, inputs = [1.0466960983697868, 1.0457006440409329], constraints = [0.46041120644265615]
iteration = 69 , objective = 0.666905052591618, inputs = [1.0463216398399984, 1.0457153497540679], constraints = [0.46075523695619774]
iteration = 70 , objective = 0.6669050405397531, inputs = [1.0463216547411596, 1.0457153497540679], constraints = [0.4607552478056183]
iteration = 71 , objective = 0.6669050513385162, inputs = [1.0463216398399984, 1.045715364655229], constraints = [0.460755200524333]
iteration = 72 , objective = 0.6669050521634287, inputs = [1.0463216398399984, 1.0457153497540679], constraints = [0.4607552379499322]
iteration = 73 , objective = 0.6669050561728742, inputs = [1.0463216547411596, 1.0457153497540679], constraints = [0.4607552115313554]
iteration = 74 , objective = 0.6669050535648523, inputs = [1.0463216398399984, 1.045715364655229], constraints = [0.4607551970186243]
iteration = 75 , objective = 0.6669050525690443, inputs = [1.0463216398399984, 1.0457153497540679], constraints = [0.4607552370085875]
iteration = 76 , objective = 0.6669050416223726, inputs = [1.0463216547411596, 1.0457153497540679], constraints = [0.4607552452940451]
iteration = 77 , objective = 0.6669050571956839, inputs = [1.0463216398399984, 1.045715364655229], constraints = [0.4607551869311475]
iteration = 78 , objective = 0.6659699347180548, inputs = [1.3, 1.0357447747555015], constraints = [0.19771684596095596]
iteration = 79 , objective = 0.6635730282739533, inputs = [1.1737439598127204, 1.0407071425227612], constraints = [0.33497421560951457]
iteration = 80 , objective = 0.6643341380017984, inputs = [1.1121705428960005, 1.0431272242786467], constraints = [0.39776153995737307]
iteration = 81 , objective = 0.6653076639371495, inputs = [1.0809232726446152, 1.0443553670786292], constraints = [0.42825407450549025]
iteration = 82 , objective = 0.6659866763553146, inputs = [1.0646743156710385, 1.0449940161303313], constraints = [0.443692391201251]
iteration = 83 , objective = 0.6663949657912541, inputs = [1.0561058186765755, 1.0453307923608872], constraints = [0.4517096828498427]
iteration = 84 , objective = 0.6666264651545316, inputs = [1.051552275903978, 1.04550976481914], constraints = [0.45593420227179454]
iteration = 85 , objective = 0.6667542004076066, inputs = [1.0491221344587918, 1.0456052791055026], constraints = [0.4581782910176072]
iteration = 86 , objective = 0.6668237330618074, inputs = [1.0478222391191376, 1.0456563701956774], constraints = [0.45937564574514894]
iteration = 87 , objective = 0.6668613196564016, inputs = [1.047126059387494, 1.0456837328458557], constraints = [0.4600160377318183]
iteration = 88 , objective = 0.6668815630576319, inputs = [1.0467529615892674, 1.045698397082792], constraints = [0.4603589870026208]
iteration = 89 , objective = 0.6668815510185822, inputs = [1.0467529764904286, 1.045698397082792], constraints = [0.46035899782099776]
iteration = 90 , objective = 0.6668815622545582, inputs = [1.0467529615892674, 1.0456984119839532], constraints = [0.4603589495302986]
iteration = 91 , objective = 0.6668815626373238, inputs = [1.0467529615892674, 1.045698397082792], constraints = [0.4603589879780371]
iteration = 92 , objective = 0.6668815664500558, inputs = [1.0467529764904286, 1.045698397082792], constraints = [0.4603589659604698]
iteration = 93 , objective = 0.6668815640275702, inputs = [1.0467529615892674, 1.0456984119839532], constraints = [0.46035894405472566]
iteration = 94 , objective = 0.666881563034949, inputs = [1.0467529615892674, 1.045698397082792], constraints = [0.46035896015613986]
iteration = 95 , objective = 0.6668815520802768, inputs = [1.0467529764904286, 1.045698397082792], constraints = [0.4603589952920834]
iteration = 96 , objective = 0.6668815672631215, inputs = [1.0467529615892674, 1.0456984119839532], constraints = [0.46035893790688664]
iteration = 97 , objective = 0.6659700868595028, inputs = [1.3, 1.0357414491259853], constraints = [0.19772474862839215]
iteration = 98 , objective = 0.663572839463882, inputs = [1.1739445848393317, 1.0406975868810606], constraints = [0.33476874459104033]
iteration = 99 , objective = 0.6643267928237022, inputs = [1.1124703092850246, 1.0431145792621674], constraints = [0.39746650366871267]
iteration = 100 , objective = 0.6652942063542127, inputs = [1.081277211562894, 1.0443410024913589], constraints = [0.4279157198399435]
iteration = 101 , objective = 0.6659691300140083, inputs = [1.0650596338471852, 1.0449786311811715], constraints = [0.4433304748162442]
iteration = 102 , objective = 0.6663749113112426, inputs = [1.0565097854969625, 1.0453147867216115], constraints = [0.45133403804660566]
iteration = 103 , objective = 0.6666049332859737, inputs = [1.0519674029451063, 1.0454933801888937], constraints = [0.4555503162108714]
iteration = 104 , objective = 0.6667318170503902, inputs = [1.049543926592744, 1.045588664335419], constraints = [0.4577894200407593]
iteration = 105 , objective = 0.6668008651337543, inputs = [1.048247988846884, 1.0456396168945161], constraints = [0.45898376828306753]
iteration = 106 , objective = 0.6668381781161901, inputs = [1.0475541428520592, 1.0456668969310523], constraints = [0.4596223597401523]
iteration = 107 , objective = 0.6668582678102714, inputs = [1.0471824117622348, 1.0456815123324348], constraints = [0.45996423948132514]
iteration = 108 , objective = 0.666858255784076, inputs = [1.047182426663396, 1.0456815123324348], constraints = [0.4599642502685942]
iteration = 109 , objective = 0.6668582674870966, inputs = [1.0471824117622348, 1.045681527233596], constraints = [0.4599642008992786]
iteration = 110 , objective = 0.6668582764339459, inputs = [1.0471824117622348, 1.0456815123324348], constraints = [0.4599642194689039]
iteration = 111 , objective = 0.6668582757121462, inputs = [1.047182426663396, 1.0456815123324348], constraints = [0.45996420860044357]
iteration = 112 , objective = 0.6668582687769311, inputs = [1.0471824117622348, 1.045681527233596], constraints = [0.45996419949951917]
iteration = 113 , objective = 0.6668582677874852, inputs = [1.0471824117622348, 1.0456815123324348], constraints = [0.45996423953420573]
iteration = 114 , objective = 0.6668582568255377, inputs = [1.047182426663396, 1.0456815123324348], constraints = [0.4599642478526959]
iteration = 115 , objective = 0.6668582755853495, inputs = [1.0471824117622348, 1.045681527233596], constraints = [0.4599641821061705]
iteration = 116 , objective = 0.6659701917111263, inputs = [1.2999998539959623, 1.0357390452072028], constraints = [0.19773063851359934]
iteration = 117 , objective = 0.6635726680802582, inputs = [1.1741443143659402, 1.0406885239862145], constraints = [0.3345630014664478]
iteration = 118 , objective = 0.6643195281421161, inputs = [1.1127686185749044, 1.0431022254788767], constraints = [0.3971721989571942]
iteration = 119 , objective = 0.6652808770966585, inputs = [1.0816294108568394, 1.0443268267022228], constraints = [0.4275785680318067]
iteration = 120 , objective = 0.6659517417074501, inputs = [1.065443095751104, 1.0449633805111511], constraints = [0.4429699628270369]
iteration = 121 , objective = 0.6663550316714391, inputs = [1.0569118580977908, 1.0452988856454337], constraints = [0.45095987617289185]
iteration = 122 , objective = 0.6665835853694109, inputs = [1.0523806298781169, 1.045477083744477], constraints = [0.455167939296306]
iteration = 123 , objective = 0.6667096224973363, inputs = [1.0499638233635877, 1.045572128687209], constraints = [0.4574020639154122]
iteration = 124 , objective = 0.6667781885780125, inputs = [1.0486718499187597, 1.045622937695434], constraints = [0.45859340440379437]
iteration = 125 , objective = 0.6668152293073341, inputs = [1.0479803434036934, 1.0456501323412313], constraints = [0.45923019243092505]
iteration = 126 , objective = 0.6668351660154876, inputs = [1.0476099831930672, 1.045664697373557], constraints = [0.4595709999573265]
iteration = 127 , objective = 0.6668351540020813, inputs = [1.0476099980942284, 1.045664697373557], constraints = [0.4595710107136459]
iteration = 128 , objective = 0.6668351662058827, inputs = [1.0476099831930672, 1.0456647122747182], constraints = [0.4595709601874648]
iteration = 129 , objective = 0.6668351660041401, inputs = [1.0476099831930672, 1.045664697373557], constraints = [0.45957099998366124]
iteration = 130 , objective = 0.6668351828462059, inputs = [1.0476099980942284, 1.045664697373557], constraints = [0.45957092400640676]
iteration = 131 , objective = 0.6668351669788833, inputs = [1.0476099831930672, 1.0456647122747182], constraints = [0.4595709583936651]
iteration = 132 , objective = 0.6668351659926041, inputs = [1.0476099831930672, 1.045664697373557], constraints = [0.4595710000104304]
iteration = 133 , objective = 0.6668351550755193, inputs = [1.0476099980942284, 1.045664697373557], constraints = [0.45957100822365904]
iteration = 134 , objective = 0.6668351711997762, inputs = [1.0476099831930672, 1.0456647122747182], constraints = [0.45957094859879866]
iteration = 135 , objective = 0.6659703029785443, inputs = [1.3, 1.0357367253668108], constraints = [0.1977359728811711]
iteration = 136 , objective = 0.66357251163205, inputs = [1.174343322516345, 1.0406795356740535], constraints = [0.3343578624885616]
iteration = 137 , objective = 0.6643123353038413, inputs = [1.1130655152555546, 1.0430899493774817], constraints = [0.39687914965481025]
iteration = 138 , objective = 0.6652676702748053, inputs = [1.0819798622198205, 1.044312729490002], constraints = [0.4272429310950332]
iteration = 139 , objective = 0.665934508205494, inputs = [1.0658246767794142, 1.0449482071956788], constraints = [0.4426110408671467]
iteration = 140 , objective = 0.6663353251232685, inputs = [1.057312010524716, 1.0452830600291965], constraints = [0.45058730804760294]
iteration = 141 , objective = 0.6665624203287043, inputs = [1.0527919342825336, 1.0454608610015508], constraints = [0.454787138284555]
iteration = 142 , objective = 0.666687615929226, inputs = [1.0503818066192037, 1.0455556653851668], constraints = [0.4570162635939488]
iteration = 143 , objective = 0.6667557026484108, inputs = [1.0490938077690841, 1.04560632989516], constraints = [0.45820458003426506]
iteration = 144 , objective = 0.6667924724861026, inputs = [1.0484046491012413, 1.0456334385266706], constraints = [0.458839553030609]
iteration = 145 , objective = 0.6668122569107982, inputs = [1.0480356657244616, 1.045647952795824], constraints = [0.45917928064564145]
iteration = 146 , objective = 0.6668122449101996, inputs = [1.0480356806256228, 1.045647952795824], constraints = [0.45917929137096086]
iteration = 147 , objective = 0.6668122576495159, inputs = [1.0480356657244616, 1.0456479676969852], constraints = [0.45917923960737606]
iteration = 148 , objective = 0.666812256899842, inputs = [1.0480356657244616, 1.045647952795824], constraints = [0.45917928067106606]
iteration = 149 , objective = 0.6668122485281732, inputs = [1.0480356806256228, 1.045647952795824], constraints = [0.4591792829777899]
iteration = 150 , objective = 0.6668122578709459, inputs = [1.0480356657244616, 1.0456479676969852], constraints = [0.459179239093551]
iteration = 1 , objective = 0.6821831560613536, inputs = [0.95, 1.1], constraints = [0.38735622504055256]
iteration = 2 , objective = 0.6821831410953462, inputs = [0.9500000149011611, 1.1], constraints = [0.3873562431652224]
iteration = 3 , objective = 0.6821831653023873, inputs = [0.95, 1.1000000149011613], constraints = [0.3873561625823455]
iteration = 4 , objective = 0.6821831557835322, inputs = [0.95, 1.1], constraints = [0.38735622572483647]
iteration = 5 , objective = 0.6821831520874352, inputs = [0.9500000149011611, 1.1], constraints = [0.38735622176933965]
iteration = 6 , objective = 0.6821831586626926, inputs = [0.95, 1.1000000149011613], constraints = [0.3873561778914845]
iteration = 7 , objective = 0.6821831515137244, inputs = [0.95, 1.1], constraints = [0.3873562355697302]
iteration = 8 , objective = 0.6821831539931794, inputs = [0.9500000149011611, 1.1], constraints = [0.38735621891122995]
iteration = 9 , objective = 0.6821831586626926, inputs = [0.95, 1.1000000149011613], constraints = [0.38735617850611376]
iteration = 10 , objective = 0.6807465339342205, inputs = [1.3, 0.9], constraints = [0.49002431322857365]
iteration = 11 , objective = 0.6637955265430704, inputs = [1.1255302669629719, 0.9996969903068733], constraints = [0.4950397731449491]
iteration = 12 , objective = 0.6669653717942928, inputs = [1.04509689112974, 1.0456589193544343], constraints = [0.4621712488450429]
iteration = 13 , objective = 0.6669653597037061, inputs = [1.0450969060309012, 1.0456589193544343], constraints = [0.46217125978925466]
iteration = 14 , objective = 0.666965369506699, inputs = [1.04509689112974, 1.0456589342555955], constraints = [0.46217121480655776]
iteration = 15 , objective = 0.6669653716397814, inputs = [1.04509689112974, 1.0456589193544343], constraints = [0.46217124920511665]
iteration = 16 , objective = 0.666965371021055, inputs = [1.0450969060309012, 1.0456589193544343], constraints = [0.4621712384206263]
iteration = 17 , objective = 0.666965372774547, inputs = [1.04509689112974, 1.0456589342555955], constraints = [0.46217121046298004]
iteration = 18 , objective = 0.6669653717712456, inputs = [1.04509689112974, 1.0456589193544343], constraints = [0.46217124889998146]
iteration = 19 , objective = 0.6669653608440458, inputs = [1.0450969060309012, 1.0456589193544343], constraints = [0.4621712571433917]
iteration = 20 , objective = 0.6669653774860802, inputs = [1.04509689112974, 1.0456589342555955], constraints = [0.462171196286104]
iteration = 21 , objective = 0.6639520286341023, inputs = [1.299999999999999, 1.1088406607058283], constraints = [0.014014327379426763]
iteration = 22 , objective = 0.6644310768619281, inputs = [1.1743472076458177, 1.0776956414795502], constraints = [0.23678187222097177]
iteration = 23 , objective = 0.6651675123699606, inputs = [1.1112490463984896, 1.062055770622948], constraints = [0.3474775660608839]
iteration = 24 , objective = 0.6658925854630768, inputs = [1.0792662118168823, 1.054128322459701], constraints = [0.40314945611076053]
iteration = 25 , objective = 0.6663679777330909, inputs = [1.0628372558452628, 1.05005614754009], constraints = [0.4315936927681941]
iteration = 26 , objective = 0.6666431637656424, inputs = [1.0543332300886008, 1.047948291115018], constraints = [0.4462701910400972]
iteration = 27 , objective = 0.6667942959198255, inputs = [1.0499128428383717, 1.0468526286683935], constraints = [0.4538854806952079]
iteration = 28 , objective = 0.6668752593918696, inputs = [1.047609961472078, 1.0462818233318365], constraints = [0.4578490028230276]
iteration = 29 , objective = 0.666918099883591, inputs = [1.0464088064839725, 1.0459840981918107], constraints = [0.4599152754708725]
iteration = 30 , objective = 0.6669406260185715, inputs = [1.0457819068614767, 1.0458287112686093], constraints = [0.46099340286099855]
iteration = 31 , objective = 0.6669524322143247, inputs = [1.0454546119437973, 1.045747586079803], constraints = [0.46155619783249796]
iteration = 32 , objective = 0.6669524201368026, inputs = [1.0454546268449585, 1.045747586079803], constraints = [0.4615562087440653]
iteration = 33 , objective = 0.6669524301413913, inputs = [1.0454546119437973, 1.045747600980964], constraints = [0.46155616329554294]
iteration = 34 , objective = 0.6669524319503151, inputs = [1.0454546119437973, 1.045747586079803], constraints = [0.46155619844525303]
iteration = 35 , objective = 0.6669524036574614, inputs = [1.0454546268449585, 1.045747586079803], constraints = [0.4615562399393353]
iteration = 36 , objective = 0.6669524331941545, inputs = [1.0454546119437973, 1.045747600980964], constraints = [0.4615561562103231]
iteration = 37 , objective = 0.6669524321919839, inputs = [1.0454546119437973, 1.045747586079803], constraints = [0.4615561978843602]
iteration = 38 , objective = 0.6669524212634634, inputs = [1.0454546268449585, 1.045747586079803], constraints = [0.4615562061301251]
iteration = 39 , objective = 0.6669524376999805, inputs = [1.0454546119437973, 1.045747600980964], constraints = [0.4615561457526564]
iteration = 40 , objective = 0.6659215100278459, inputs = [1.3, 1.0368151355365975], constraints = [0.19517141223121431]
iteration = 41 , objective = 0.6635764440960403, inputs = [1.1733703646765217, 1.0412587947341523], constraints = [0.33398287436554863]
iteration = 42 , objective = 0.6643579505910006, inputs = [1.1115787083340916, 1.0434271738922913], constraints = [0.3976077653270552]
iteration = 43 , objective = 0.6653419377773564, inputs = [1.080209323010461, 1.044527981434372], constraints = [0.42854388679608396]
iteration = 44 , objective = 0.6660267485024313, inputs = [1.0638924965442125, 1.0451005679052754], constraints = [0.4442182670774346]
iteration = 45 , objective = 0.6664382861514314, inputs = [1.0552862477079072, 1.0454025764888126], constraints = [0.4523620777539926]
iteration = 46 , objective = 0.6666715985608993, inputs = [1.0507116778055314, 1.045563106285567], constraints = [0.4566547570920859]
iteration = 47 , objective = 0.6668003406953751, inputs = [1.048269818026883, 1.0456487954896527], constraints = [0.4589356838843179]
iteration = 48 , objective = 0.6668704302998849, inputs = [1.0469633932025986, 1.0456946402610723], constraints = [0.46015298488365314]
iteration = 49 , objective = 0.6669083241037334, inputs = [1.0462635775696378, 1.0457191980367149], constraints = [0.4608041876915307]
iteration = 50 , objective = 0.6669287366298777, inputs = [1.045888456981427, 1.0457323616855538], constraints = [0.4611529993423833]
iteration = 51 , objective = 0.6669287245651256, inputs = [1.0458884718825883, 1.0457323616855538], constraints = [0.4611530102230055]
iteration = 52 , objective = 0.6669287349521051, inputs = [1.045888456981427, 1.045732376586715], constraints = [0.46115296389216975]
iteration = 53 , objective = 0.6669287362176154, inputs = [1.045888456981427, 1.0457323616855538], constraints = [0.46115300029918316]
iteration = 54 , objective = 0.6669287348536665, inputs = [1.0458884718825883, 1.0457323616855538], constraints = [0.46115298988291514]
iteration = 55 , objective = 0.6669287376064247, inputs = [1.045888456981427, 1.045732376586715], constraints = [0.46115295773189635]
iteration = 56 , objective = 0.6669287366074219, inputs = [1.045888456981427, 1.0457323616855538], constraints = [0.4611529993945005]
iteration = 57 , objective = 0.6669287256695184, inputs = [1.0458884718825883, 1.0457323616855538], constraints = [0.46115300766082296]
iteration = 58 , objective = 0.6669287416618812, inputs = [1.045888456981427, 1.045732376586715], constraints = [0.4611529483197924]
iteration = 59 , objective = 0.6659695626627479, inputs = [1.299999999993798, 1.0357529082653936], constraints = [0.19769751820373235]
iteration = 60 , objective = 0.6635732450509713, inputs = [1.1735426235664055, 1.0407191348394906], constraints = [0.3351742020336144]
iteration = 61 , objective = 0.6643415954215263, inputs = [1.111869411741124, 1.0431411615502257], constraints = [0.39805452651066997]
iteration = 62 , objective = 0.6653212748527454, inputs = [1.0805676255754015, 1.0443704434368555], constraints = [0.4285921682023251]
iteration = 63 , objective = 0.6660043970706072, inputs = [1.0642871459518666, 1.0450098094653912], constraints = [0.4440549478175208]
iteration = 64 , objective = 0.6664152051256846, inputs = [1.0556999544755132, 1.0453470451388769], constraints = [0.4520864151157879]
iteration = 65 , objective = 0.6666481869600961, inputs = [1.0511352457975829, 1.0455263101068828], constraints = [0.45631939556283]
iteration = 66 , objective = 0.6667767761243892, inputs = [1.0486984467978286, 1.0456220079324283], constraints = [0.4585685762792856]
iteration = 67 , objective = 0.6668467944918935, inputs = [1.0473946036082085, 1.0456732123847086], constraints = [0.45976898919053394]
iteration = 68 , objective = 0.6668846552337578, inputs = [1.0466960983697868, 1.0457006440409329], constraints = [0.46041120644265615]
iteration = 69 , objective = 0.666905052591618, inputs = [1.0463216398399984, 1.0457153497540679], constraints = [0.46075523695619774]
iteration = 70 , objective = 0.6669050405397531, inputs = [1.0463216547411596, 1.0457153497540679], constraints = [0.4607552478056183]
iteration = 71 , objective = 0.6669050513385162, inputs = [1.0463216398399984, 1.045715364655229], constraints = [0.460755200524333]
iteration = 72 , objective = 0.6669050521634287, inputs = [1.0463216398399984, 1.0457153497540679], constraints = [0.4607552379499322]
iteration = 73 , objective = 0.6669050561728742, inputs = [1.0463216547411596, 1.0457153497540679], constraints = [0.4607552115313554]
iteration = 74 , objective = 0.6669050535648523, inputs = [1.0463216398399984, 1.045715364655229], constraints = [0.4607551970186243]
iteration = 75 , objective = 0.6669050525690443, inputs = [1.0463216398399984, 1.0457153497540679], constraints = [0.4607552370085875]
iteration = 76 , objective = 0.6669050416223726, inputs = [1.0463216547411596, 1.0457153497540679], constraints = [0.4607552452940451]
iteration = 77 , objective = 0.6669050571956839, inputs = [1.0463216398399984, 1.045715364655229], constraints = [0.4607551869311475]
iteration = 78 , objective = 0.6659699347180548, inputs = [1.3, 1.0357447747555015], constraints = [0.19771684596095596]
iteration = 79 , objective = 0.6635730282739533, inputs = [1.1737439598127204, 1.0407071425227612], constraints = [0.33497421560951457]
iteration = 80 , objective = 0.6643341380017984, inputs = [1.1121705428960005, 1.0431272242786467], constraints = [0.39776153995737307]
iteration = 81 , objective = 0.6653076639371495, inputs = [1.0809232726446152, 1.0443553670786292], constraints = [0.42825407450549025]
iteration = 82 , objective = 0.6659866763553146, inputs = [1.0646743156710385, 1.0449940161303313], constraints = [0.443692391201251]
iteration = 83 , objective = 0.6663949657912541, inputs = [1.0561058186765755, 1.0453307923608872], constraints = [0.4517096828498427]
iteration = 84 , objective = 0.6666264651545316, inputs = [1.051552275903978, 1.04550976481914], constraints = [0.45593420227179454]
iteration = 85 , objective = 0.6667542004076066, inputs = [1.0491221344587918, 1.0456052791055026], constraints = [0.4581782910176072]
iteration = 86 , objective = 0.6668237330618074, inputs = [1.0478222391191376, 1.0456563701956774], constraints = [0.45937564574514894]
iteration = 87 , objective = 0.6668613196564016, inputs = [1.047126059387494, 1.0456837328458557], constraints = [0.4600160377318183]
iteration = 88 , objective = 0.6668815630576319, inputs = [1.0467529615892674, 1.045698397082792], constraints = [0.4603589870026208]
iteration = 89 , objective = 0.6668815510185822, inputs = [1.0467529764904286, 1.045698397082792], constraints = [0.46035899782099776]
iteration = 90 , objective = 0.6668815622545582, inputs = [1.0467529615892674, 1.0456984119839532], constraints = [0.4603589495302986]
iteration = 91 , objective = 0.6668815626373238, inputs = [1.0467529615892674, 1.045698397082792], constraints = [0.4603589879780371]
iteration = 92 , objective = 0.6668815664500558, inputs = [1.0467529764904286, 1.045698397082792], constraints = [0.4603589659604698]
iteration = 93 , objective = 0.6668815640275702, inputs = [1.0467529615892674, 1.0456984119839532], constraints = [0.46035894405472566]
iteration = 94 , objective = 0.666881563034949, inputs = [1.0467529615892674, 1.045698397082792], constraints = [0.46035896015613986]
iteration = 95 , objective = 0.6668815520802768, inputs = [1.0467529764904286, 1.045698397082792], constraints = [0.4603589952920834]
iteration = 96 , objective = 0.6668815672631215, inputs = [1.0467529615892674, 1.0456984119839532], constraints = [0.46035893790688664]
iteration = 97 , objective = 0.6659700868595028, inputs = [1.3, 1.0357414491259853], constraints = [0.19772474862839215]
iteration = 98 , objective = 0.663572839463882, inputs = [1.1739445848393317, 1.0406975868810606], constraints = [0.33476874459104033]
iteration = 99 , objective = 0.6643267928237022, inputs = [1.1124703092850246, 1.0431145792621674], constraints = [0.39746650366871267]
iteration = 100 , objective = 0.6652942063542127, inputs = [1.081277211562894, 1.0443410024913589], constraints = [0.4279157198399435]
iteration = 101 , objective = 0.6659691300140083, inputs = [1.0650596338471852, 1.0449786311811715], constraints = [0.4433304748162442]
iteration = 102 , objective = 0.6663749113112426, inputs = [1.0565097854969625, 1.0453147867216115], constraints = [0.45133403804660566]
iteration = 103 , objective = 0.6666049332859737, inputs = [1.0519674029451063, 1.0454933801888937], constraints = [0.4555503162108714]
iteration = 104 , objective = 0.6667318170503902, inputs = [1.049543926592744, 1.045588664335419], constraints = [0.4577894200407593]
iteration = 105 , objective = 0.6668008651337543, inputs = [1.048247988846884, 1.0456396168945161], constraints = [0.45898376828306753]
iteration = 106 , objective = 0.6668381781161901, inputs = [1.0475541428520592, 1.0456668969310523], constraints = [0.4596223597401523]
iteration = 107 , objective = 0.6668582678102714, inputs = [1.0471824117622348, 1.0456815123324348], constraints = [0.45996423948132514]
iteration = 108 , objective = 0.666858255784076, inputs = [1.047182426663396, 1.0456815123324348], constraints = [0.4599642502685942]
iteration = 109 , objective = 0.6668582674870966, inputs = [1.0471824117622348, 1.045681527233596], constraints = [0.4599642008992786]
iteration = 110 , objective = 0.6668582764339459, inputs = [1.0471824117622348, 1.0456815123324348], constraints = [0.4599642194689039]
iteration = 111 , objective = 0.6668582757121462, inputs = [1.047182426663396, 1.0456815123324348], constraints = [0.45996420860044357]
iteration = 112 , objective = 0.6668582687769311, inputs = [1.0471824117622348, 1.045681527233596], constraints = [0.45996419949951917]
iteration = 113 , objective = 0.6668582677874852, inputs = [1.0471824117622348, 1.0456815123324348], constraints = [0.45996423953420573]
iteration = 114 , objective = 0.6668582568255377, inputs = [1.047182426663396, 1.0456815123324348], constraints = [0.4599642478526959]
iteration = 115 , objective = 0.6668582755853495, inputs = [1.0471824117622348, 1.045681527233596], constraints = [0.4599641821061705]
iteration = 116 , objective = 0.6659701917111263, inputs = [1.2999998539959623, 1.0357390452072028], constraints = [0.19773063851359934]
iteration = 117 , objective = 0.6635726680802582, inputs = [1.1741443143659402, 1.0406885239862145], constraints = [0.3345630014664478]
iteration = 118 , objective = 0.6643195281421161, inputs = [1.1127686185749044, 1.0431022254788767], constraints = [0.3971721989571942]
iteration = 119 , objective = 0.6652808770966585, inputs = [1.0816294108568394, 1.0443268267022228], constraints = [0.4275785680318067]
iteration = 120 , objective = 0.6659517417074501, inputs = [1.065443095751104, 1.0449633805111511], constraints = [0.4429699628270369]
iteration = 121 , objective = 0.6663550316714391, inputs = [1.0569118580977908, 1.0452988856454337], constraints = [0.45095987617289185]
iteration = 122 , objective = 0.6665835853694109, inputs = [1.0523806298781169, 1.045477083744477], constraints = [0.455167939296306]
iteration = 123 , objective = 0.6667096224973363, inputs = [1.0499638233635877, 1.045572128687209], constraints = [0.4574020639154122]
iteration = 124 , objective = 0.6667781885780125, inputs = [1.0486718499187597, 1.045622937695434], constraints = [0.45859340440379437]
iteration = 125 , objective = 0.6668152293073341, inputs = [1.0479803434036934, 1.0456501323412313], constraints = [0.45923019243092505]
iteration = 126 , objective = 0.6668351660154876, inputs = [1.0476099831930672, 1.045664697373557], constraints = [0.4595709999573265]
iteration = 127 , objective = 0.6668351540020813, inputs = [1.0476099980942284, 1.045664697373557], constraints = [0.4595710107136459]
iteration = 128 , objective = 0.6668351662058827, inputs = [1.0476099831930672, 1.0456647122747182], constraints = [0.4595709601874648]
iteration = 129 , objective = 0.6668351660041401, inputs = [1.0476099831930672, 1.045664697373557], constraints = [0.45957099998366124]
iteration = 130 , objective = 0.6668351828462059, inputs = [1.0476099980942284, 1.045664697373557], constraints = [0.45957092400640676]
iteration = 131 , objective = 0.6668351669788833, inputs = [1.0476099831930672, 1.0456647122747182], constraints = [0.4595709583936651]
iteration = 132 , objective = 0.6668351659926041, inputs = [1.0476099831930672, 1.045664697373557], constraints = [0.4595710000104304]
iteration = 133 , objective = 0.6668351550755193, inputs = [1.0476099980942284, 1.045664697373557], constraints = [0.45957100822365904]
